Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
391.830314794216	-115.554763434041	-115.554763072764	-115.34418298839	-113.391105515039	-113.574561655061	-114.168750616221	-114.799293893464	-115.424471764975	-115.398545561092	-115.554763434041	-115.554763434041	-115.554763434041	-108.772331028723	358.027	83.0681069319883	83.0681069319883	-109.749429246038	83.0681069319883	-545.32469922943	1.68916603851162		
392.598172413793	-115.554763434041	-115.554763071267	-115.343342537118	-113.382826595947	-113.567247229601	-114.163720166088	-114.796704073346	-115.424038171532	-115.398035464975	-115.554763434041	-115.554763434041	-115.554763434041	-108.747333271591	358.24	76.6648609149599	76.6648609149599	-109.743951824051	76.6648609149599	-537.98876005999	1.71657644075927		
393.36603003337	-115.554763434041	-115.554763069759	-115.342497043838	-113.374500070333	-113.559892198991	-114.158662253794	-114.794100901065	-115.423602408719	-115.397522865538	-115.554763434041	-115.554763434041	-115.554763434041	-108.722196773753	358.453	68.9753261366994	68.9753261366994	-109.738466632567	68.9753261366994	-535.374175746286	1.74398684300692		
394.133887652948	-115.554763434041	-115.554763068243	-115.341646468134	-113.366125572503	-113.552496262097	-114.153576678892	-114.791484284594	-115.42316446203	-115.397007746367	-115.554763434041	-115.554763434041	-115.554763434041	-108.696920504575	358.667	66.2617908250677	66.2617908250677	-109.732947849861	66.2617908250677	-533.349585554018	1.77139724525457		
394.901745272525	-115.554763434041	-115.554763066717	-115.340790769186	-113.357702733247	-113.545059114985	-114.148463239098	-114.788854131111	-115.422724316839	-115.396490090916	-115.554763434041	-115.554763434041	-115.554763434041	-108.671503423816	358.88	63.5143891872821	63.5143891872821	-109.727447038522	63.5143891872821	-531.939803074482	1.79880764750223		
395.669602892102	-115.554763434041	-115.554763065181	-115.339929905763	-113.349231179796	-113.537580450897	-114.143321730276	-114.786210346992	-115.422281958397	-115.3959698825	-115.554763434041	-115.554763434041	-115.554763434041	-108.645944481519	359.094	60.8853836071713	60.8853836071713	-109.721912532791	60.8853836071713	-525.06440892723	1.82621804974988		
396.43746051168	-115.554763434041	-115.554763063636	-115.339063836218	-113.340710535781	-113.530059960211	-114.138151946414	-114.7835528378	-115.421837371831	-115.395447104301	-115.554763434041	-115.554763434041	-115.554763434041	-108.620242617907	359.307	58.0872224884133	58.0872224884133	-109.716396042132	58.0872224884133	-523.641094979965	1.85362845199753		
397.205318131257	-115.554763434041	-115.554763062081	-115.338192518483	-113.332140421191	-113.522497330416	-114.132953679607	-114.780881508278	-115.421390542141	-115.394921739356	-115.554763434041	-115.554763434041	-115.554763434041	-108.594396763268	359.52	54.6120287326488	54.6120287326488	-109.710871707855	54.6120287326488	-520.622057401604	1.88103885424519		
397.973175750834	-115.554763434041	-115.554763060516	-115.337315910064	-113.323520452331	-113.514892246076	-114.12772672003	-114.77819626234	-115.420941454203	-115.394393770568	-115.554763434041	-115.554763434041	-115.554763434041	-108.568405837844	359.733	50.7137692671248	50.7137692671248	-109.705339515059	50.7137692671248	-511.333886349934	1.90844925649284		
398.741033370412	-115.554763434041	-115.554763058941	-115.336433968038	-113.314850241779	-113.507244388795	-114.122470855924	-114.775497003065	-115.420490092764	-115.393863180695	-115.554763434041	-115.554763434041	-115.554763434041	-108.542268751717	359.947	41.5009304453039	41.5009304453039	-109.699773420511	41.5009304453039	-509.992266220578	1.93585965874049		
399.508890989989	-115.554763434041	-115.554763057356	-115.335546649043	-113.306129398342	-113.499553437191	-114.117185873569	-114.772783632683	-115.420036442442	-115.393329952352	-115.554763434041	-115.554763434041	-115.554763434041	-108.515984404694	360.16	53.8338948502418	53.8338948502418	-109.694225428754	53.8338948502418	-509.568497043685	1.96327006098815		
400.276748609566	-115.554763434041	-115.554763055762	-115.334653909278	-113.297357527015	-113.491819066853	-114.111871557264	-114.770056052571	-115.419580487725	-115.39279406801	-115.554763434041	-115.554763434041	-115.554763434041	-108.489551686194	360.373	61.817099285553	61.817099285553	-109.688669533487	61.817099285553	-496.911261325658	1.9906804632358		
401.044606229143	-115.554763434041	-115.554763054157	-115.333755704492	-113.288534228929	-113.484040950315	-114.106527689306	-114.767314163242	-115.419122212969	-115.392255509996	-115.554763434041	-115.554763434041	-115.554763434041	-108.462969475122	360.587	63.7915919764669	63.7915919764669	-109.683079579773	63.7915919764669	-494.920182046624	2.01809086548345		
401.812463848721	-115.554763434041	-115.554763052541	-115.332851989986	-113.279659101314	-113.476218757015	-114.101154049966	-114.764557864336	-115.418661602397	-115.391714260486	-115.554763434041	-115.554763434041	-115.554763434041	-108.436236639757	360.8	64.5304830016412	64.5304830016412	-109.67750779503	64.5304830016412	-493.436795312241	2.0455012677311		
